Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Mohamed Salah,Egypt,Liverpool,2013-14,Quarter-Final,Borussia Dortmund,1,Header,Away,1
Luis Suarez,Uruguay,Barcelona,2020-21,Final,Manchester City,48,Penalty,Away,1
Gareth Bale,Wales,Real Madrid,2017-18,Round Of 16,Juventus,72,Free Kick,Away,1
Mohamed Salah,Egypt,Liverpool,2022-23,Final,Tottenham Hotspur,38,Right Foot,Away,2
Alessandro Del Piero,Italy,Juventus,2021-22,Round Of 16,Arsenal,68,Free Kick,Home,2
Andriy Shevchenko,Ukraine,Ac Milan,2013-14,Round Of 16,Real Madrid,63,Penalty,Home,2
Raul Gonzalez,Spain,Real Madrid,2018-19,Round Of 16,Benfica,52,Penalty,Away,1
Andriy Shevchenko,Ukraine,Ac Milan,2023-24,Round Of 16,Atletico Madrid,47,Penalty,Away,2
Bernardo Silva,Portugal,Manchester City,2014-15,Final,Porto,83,Header,Home,1
Vinicius Junior,Brazil,Real Madrid,2011-12,Group Stage,Ac Milan,64,Right Foot,Home,2
Jude Bellingham,England,Real Madrid,2011-12,Group Stage,Inter Milan,27,Header,Away,1
Andriy Shevchenko,Ukraine,Ac Milan,2018-19,Round Of 16,Porto,17,Header,Away,1
Toni Kroos,Germany,Real Madrid,2022-23,Group Stage,Inter Milan,8,Header,Home,2
Alessandro Del Piero,Italy,Juventus,2018-19,Final,Atletico Madrid,63,Free Kick,Away,1
Alessandro Del Piero,Italy,Juventus,2021-22,Group Stage,Sevilla,8,Left Foot,Away,2
Bukayo Saka,England,Arsenal,2022-23,Quarter-Final,Ac Milan,80,Penalty,Home,1
Luis Suarez,Uruguay,Barcelona,2013-14,Semi-Final,Manchester United,5,Free Kick,Away,3
Bukayo Saka,England,Arsenal,2013-14,Round Of 16,Sevilla,91,Right Foot,Away,2
Luka Modric,Croatia,Real Madrid,2020-21,Group Stage,Manchester City,10,Header,Home,2
Cristiano Ronaldo,Portugal,Real Madrid,2021-22,Round Of 16,Arsenal,87,Header,Away,2
Jude Bellingham,England,Real Madrid,2014-15,Group Stage,Inter Milan,28,Penalty,Away,1
Karim Benzema,France,Real Madrid,2012-13,Group Stage,Manchester City,84,Right Foot,Home,3
Lionel Messi,Argentina,Paris Saint-Germain,2022-23,Group Stage,Ac Milan,16,Free Kick,Away,1
Robert Lewandowski,Poland,Barcelona,2015-16,Group Stage,Napoli,15,Penalty,Home,2
Gareth Bale,Wales,Real Madrid,2019-20,Group Stage,Juventus,5,Penalty,Home,1
Wayne Rooney,England,Manchester United,2011-12,Group Stage,Borussia Dortmund,17,Header,Away,1
Karim Benzema,France,Real Madrid,2012-13,Final,Liverpool,55,Penalty,Home,1
Didier Drogba,Ivory Coast,Chelsea,2021-22,Semi-Final,Manchester United,88,Right Foot,Away,1
Cristiano Ronaldo,Portugal,Juventus,2017-18,Group Stage,Real Madrid,38,Header,Away,2
Cristiano Ronaldo,Portugal,Juventus,2017-18,Group Stage,Bayern Munich,39,Right Foot,Home,1
Gareth Bale,Wales,Real Madrid,2023-24,Group Stage,Porto,11,Right Foot,Home,2
Joshua Kimmich,Germany,Bayern Munich,2022-23,Group Stage,Barcelona,93,Penalty,Home,1
Kevin De Bruyne,Belgium,Manchester City,2013-14,Round Of 16,Chelsea,82,Left Foot,Home,1
Sergio Aguero,Argentina,Manchester City,2020-21,Round Of 16,Barcelona,40,Penalty,Home,2
Erling Haaland,Norway,Manchester City,2023-24,Round Of 16,Arsenal,36,Right Foot,Away,2
Memphis Depay,Netherlands,Barcelona,2013-14,Final,Manchester United,30,Left Foot,Away,3
