Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
  MOHAMED SALAH  ,Egypt,Liverpool,2013-14,Quarter-final,Borussia Dortmund,1,Header,Away,1
Luis Suarez,Uruguay,Barcelona,2020-21,Final,Manchester City,48,Penalty,Away,1
Gareth Bale,Wales,Real Madrid,2017-18,R16,Juventus,72,Free Kick, Away,1
Karim Benzema,France,Real Madrid,2019-20,GROUP STAGE,Real Madrid,9,Left Foot, Away,2
Mohamed Salah,Egypt,Liverpool,2022-23,Final,Tottenham Hotspur,38,Right Foot,AWAY,2
  ALESSANDRO DEL PIERO  ,Italy,Juventus,2021-22,Round of 16,Arsenal,68,Free Kick,Home ,2
Andriy Shevchenko,Ukraine,AC Milan,2013-14,Round of 16,Real Madrid,63,Penalty,Home,2
Raul Gonzalez,Spain,Real Madrid,2018-19,R16,Benfica,52,PENALTY,Away,1
  ANDRIY SHEVCHENKO  ,Ukraine,AC Milan,2023-24,R16,Atletico Madrid,47,Penalty, Away,2
Bernardo Silva,Portugal,Manchester City,2014-15,Final,Porto,83,Header,Home ,1
  HARRY KANE  ,England,Bayern Munich,2011-12,Final,,,header,Home ,1
Riyad Mahrez,Algeria,Manchester City,2018-19,Round of 16,,86,Left Foot,Away,1
Vinicius Junior,Brazil,Real Madrid,2011-12,Group Stage,AC Milan,64,Right Foot,home,2
Jude Bellingham,England,Real Madrid,2011-12,Group Stage,Inter Milan,27,Header, Away,1
Andriy Shevchenko,Ukraine,AC Milan,2018-19,Round of 16,Porto,17,Header, Away,1
Toni Kroos,Germany,Real Madrid  ,2022-23,Group stage,Inter Milan,8,Header,Home,2
Alessandro Del Piero,Italy,Juventus,2018-19,Final,Atletico Madrid,63',Free Kick,Away,1
Alessandro Del Piero,Italy,Juventus,2021-22,Group stage,Sevilla,8,Left Foot, Away,2
Bukayo Saka,England,Arsenal  ,2022-23,Quarter-final,AC Milan,80,Penalty,Home ,1
Luis Suarez,Uruguay,Barcelona,2013-14,Semi-final,Manchester United,5,Free Kick, Away,3
Bukayo Saka,England,Arsenal,2013-14,R16,Sevilla,91,right foot,Away,2
Luka Modric,Croatia,Real Madrid,2020-21,Group Stage,Manchester City,10,header,Home,2
Cristiano Ronaldo,Portugal,Real Madrid,2021-22,Round of 16,Arsenal,87,Header,AWAY,2
Jude Bellingham,England,Real Madrid,2014-15,GROUP STAGE,Inter Milan,28,Penalty, Away,1
  KARIM BENZEMA  ,France,Real Madrid,2012-13,Group Stage,Manchester City,84,right foot,Home,3
Lionel Messi,Argentina,Paris Saint-Germain,2022-23,Group Stage,AC Milan,16,Free Kick,Away,1
Robert Lewandowski,Poland,Barcelona,2015-16,GROUP STAGE,Napoli,15,PENALTY,home,2
Erling Haaland,Norway,Borussia Dortmund,2023-24,Semi-final,,40,PENALTY, Away,1
Gareth Bale,Wales,Real Madrid,2019-20,GROUP STAGE,Juventus,5,PENALTY,home,1
Wayne Rooney,England,Manchester United,2011-12,Group stage,Borussia Dortmund,17,Header,AWAY,1
Karim Benzema,France,Real Madrid,2012-13,Final,Liverpool,55,PENALTY,home,1
Didier Drogba,Ivory Coast,Chelsea,2021-22,Semi-final,Manchester United,88,right foot,AWAY,1
Cristiano Ronaldo,Portugal,Juventus,2017-18,GROUP STAGE,Real Madrid,38,header,AWAY,2
Cristiano Ronaldo,Portugal,Juventus,2017-18,Group stage,Bayern Munich,39,right foot,Home,1
Gareth Bale,Wales,Real Madrid,2023-24,Group Stage,Porto,11,right foot,Home ,2
Joshua Kimmich,Germany,Bayern Munich,2022-23,Group Stage,Barcelona,93,Penalty,Home,1
